id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
45734853,PENTHOUSE with PRIVATE TERRACE VIEWS/Wi-Fi/AC/4PP,5543127,Vicky Agus,la Font de la Guatlla,41.37271,2.1479,Entire home/apt,1,0,,,30,248,85
16486723,The nicest room near Plaza España!!,108252150,Marly Y Agustin,la Nova Esquerra de l'Eixample,41.37773,2.14711,Private room,1,82,2017-10-19,1.68,1,0,25
11424486,Eclectic 2 bed. Minimum stay 90 days,18038725,Zane,la Dreta de l'Eixample,41.39926,2.17162,Entire home/apt,21,0,,,4,365,219
7396890,So special room in Barcelona!,642984,María,el Raval,41.37894,2.16842,Private room,1,7,2016-08-31,0.1,1,0,51
26792819,Amazing city center apartment. HUTB- 009550,144775738,Xavi,l'Antiga Esquerra de l'Eixample,41.38449,2.1571,Entire home/apt,3,12,2019-12-31,0.54,9,282,174
40036056,One zen room for You Barcelona Center Gotic,308780725,Teresa,el Barri Gòtic,41.38231,2.17745,Private room,2,1,2019-11-28,0.07,1,364,35
42602200,Habitación con cama doble,264278613,Frank,el Clot,41.40629,2.18833,Private room,30,0,,,1,365,20
3879654,Poblenou Beach cozy flat,20054374,Alicia,el Poblenou,41.4009,2.19922,Entire home/apt,3,178,2021-02-06,2.49,1,276,51
37768899,Habitación FAMILIAR en Hotel Ronda Lesseps,216022722,A Team Member Of The Ronda Lesseps,Vallcarca i els Penitents,41.40857,2.14746,Hotel room,1,0,,,12,328,152
1607133,Pretty apartment in Gràcia (BCN).,8559629,Vicente,la Vila de Gràcia,41.40231,2.15944,Entire home/apt,31,171,2020-07-30,1.92,1,40,44
735631,Bedroom on GASPATX B&B,3378062,Antonio,Horta,41.44005,2.16002,Private room,2,121,2020-03-12,1.22,1,365,41
35143035,Family apartment for 6 person front of the beach,264684655,Cristina,el Poblenou,41.3986,2.20659,Entire home/apt,3,0,,,3,262,110
20168348,Habitación Grande 4 Personas Privado,132935911,Dani,la Nova Esquerra de l'Eixample,41.3826,2.1567,Private room,2,147,2020-09-29,3.43,2,164,25
2822232,Miró Penthouse by Glasir,7215439,Marta,les Corts,41.38447,2.13326,Entire home/apt,2,36,2019-11-06,0.45,8,0,9999
5356758,PRIVATE BATHROOM NEAR TRAIN AND METRO GO AIRPORT,27744455,Carlos,Sants,41.37512,2.13375,Private room,5,2,2019-07-04,0.07,1,365,56
32436989,"Elegant, high standing and completely new",3399123,Eberhard&Aurélie@Es-Flats,el Poble Sec,41.37191,2.16546,Entire home/apt,32,1,2019-06-30,0.05,17,224,92
45972878,Apartamento reformado tranquilo,368693423,Xavier,la Salut,41.40944,2.15561,Entire home/apt,31,0,,,1,365,60
24438591,Habitación doble en l'Eixample 2 - Barcelona,199409418,Maria Fernanda,la Nova Esquerra de l'Eixample,41.38783,2.14545,Private room,1,24,2018-09-28,0.72,4,0,45
1587758,Beautiful Double Room In BCN Center Eixample,6643422,Francis & Carolina,Sant Antoni,41.38445,2.16175,Private room,2,133,2021-01-31,1.63,3,176,17
21721985,Nice 2 bedroom near Plaza España,158023606,Habitat Apartments,Hostafrancs,41.37624,2.14406,Entire home/apt,1,42,2020-07-26,1.35,105,58,111
16529397,Spectacular penthouse with terrace next to the sea,47171261,"Lina, Paola, Ana & Ezequiel",la Vila Olímpica del Poblenou,41.38969,2.19255,Entire home/apt,3,79,2020-08-16,1.65,49,73,150
12813120,private and comfortable room in bcn,69868887,Faddy Johana,les Corts,41.39067,2.13916,Private room,1,8,2017-06-01,0.14,1,0,39
