id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
36510326,Solo para guardar cosas y dormir,274493390,David,el Poble Sec,41.37244,2.16654,Private room,1,0,,,1,365,365.0
38747177,Mariel,222252387,Marisol,Sant Martí de Provençals,41.41221,2.19836,Private room,1,8,2020-01-02,0.47,2,163,163.04
3063249,"Tu casa en Barcelona,céntrico",15592785,Sandra,el Putxet i el Farró,41.4011,2.15023,Private room,1,1,2016-06-06,0.02,1,365,365.0
44678213,"NEW renovated, big double room! Center BARCELONA",361394082,Rejane,la Dreta de l'Eixample,41.39483,2.16204,Private room,31,0,,,1,0,0.0
7348053,Coconut - Only 8min. walking from Paseo de Gracia!,37224044,Kiwidestiny,Sant Gervasi - Galvany,41.39463,2.14777,Entire home/apt,2,3,2018-12-30,0.08,12,302,301.8
326464,Charm and quiet room,1669001,Isidro,Can Peguera,41.43542,2.16466,Private room,1,33,2019-12-28,0.43,1,365,365.0
10374992,FREE WIFI! Cozy Studio near Picasso Museum 3.1,1093718,Alexey,"Sant Pere, Santa Caterina i la Ribera",41.38463,2.17889,Entire home/apt,32,8,2019-12-21,0.15,11,319,319.02
20909180,casa a.m.s,143495638,Elaine,el Turó de la Peira,41.43071,2.1724,Private room,2,1,2020-09-22,0.21,1,364,364.0
5553833,Linda habitación con vista al Palau,28034990,Chorch,"Sant Pere, Santa Caterina i la Ribera",41.38683,2.17628,Private room,1,185,2020-02-23,2.58,3,130,130.0
28903054,EXCELENTE UBICACION. PISO TEMP0RADA,16940631,Fran,"Sant Pere, Santa Caterina i la Ribera",41.38781,2.18069,Entire home/apt,500,1,2018-11-20,0.04,1,365,365.0
14000125,O | Simple and bright room in center!,43645405,Nadejda,Sant Antoni,41.37997,2.15614,Private room,2,175,2021-01-17,3.2,5,345,344.99
13820340,Comfortable double room near Sants station!,29020650,Hector,les Corts,41.38694,2.13801,Private room,1,3,2017-06-19,0.05,1,0,0.0
13310529,"Your room -S- Eixample, Barcelona",8488654,Hector,la Nova Esquerra de l'Eixample,41.37854,2.1503,Private room,2,238,2021-01-28,4.18,2,76,76.08
11558312,Habitacion en pleno centro !,60069457,Gabriele,la Dreta de l'Eixample,41.39118,2.17794,Private room,1,3,2016-05-07,0.05,1,365,365.0
31740178,☀️Sagrada Familia -  modern&luxurious private room,237429789,David,la Sagrada Família,41.40838,2.17326,Private room,3,9,2019-10-14,0.51,2,365,365.0
35525225,Nice Double Room 1 min to la Rambla,10825731,Cesar Eduardo,el Barri Gòtic,41.38165,2.17614,Private room,1,12,2020-05-04,0.59,8,365,365.0
44026368,Habitacion con Ubicacion!,78096643,Giulia,el Fort Pienc,41.39867,2.17624,Private room,2,6,2020-08-31,0.81,2,351,351.01
46209832,Spacious 3-bedroom apartment in Barcelona,3945134,Eva Flora,el Congrés i els Indians,41.42405,2.18032,Entire home/apt,31,0,,,2,320,319.92
6497330,Double cozy room,33962262,Mar,el Poble Sec,41.37427,2.15794,Private room,1,160,2020-02-24,2.31,1,90,90.0
21653709,SUPERIOR DELUXE ONE BEDROOM APARTMENT,139063900,Deco Apartments Barcelona,"Sant Pere, Santa Caterina i la Ribera",41.38453,2.18329,Entire home/apt,1,30,2021-01-31,0.84,36,83,82.91
